"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2025","29,589.10","29,690.25","29,694.45","29,357.85","","-0.15%"
"01/07/2025","29,634.00","29,574.05","29,764.05","29,560.15","","0.46%"
"01/06/2025","29,498.30","30,088.65","30,097.70","29,393.75","","-1.74%"
"01/03/2025","30,020.60","30,133.35","30,173.75","29,983.70","","-0.31%"
"01/02/2025","30,112.95","29,531.85","30,146.80","29,471.20","","2.22%"
"01/01/2025","29,460.00","29,340.00","29,539.85","29,234.25","","0.35%"
"12/31/2024","29,357.10","29,223.65","29,412.95","29,108.30","","0.14%"
"12/30/2024","29,317.25","29,468.60","29,560.75","29,262.35","","-0.50%"
"12/27/2024","29,464.70","29,477.50","29,671.85","29,442.05","","0.19%"
"12/26/2024","29,410.20","29,370.65","29,458.35","29,279.95","","0.32%"
"12/24/2024","29,315.60","29,381.65","29,544.10","29,289.95","","-0.15%"
"12/23/2024","29,359.95","29,396.40","29,564.35","29,253.30","","0.52%"
"12/20/2024","29,209.15","29,710.80","29,840.95","29,140.30","","-1.62%"
"12/19/2024","29,691.15","29,472.85","29,723.30","29,468.55","","-0.62%"
"12/18/2024","29,875.35","29,998.85","30,106.40","29,810.40","","-0.49%"
"12/17/2024","30,022.05","30,386.50","30,425.00","29,980.75","","-1.40%"
"12/16/2024","30,449.40","30,568.60","30,622.95","30,345.35","","-0.40%"
"12/13/2024","30,571.75","30,304.20","30,598.40","29,912.75","","0.63%"
"12/12/2024","30,379.80","30,523.65","30,563.50","30,345.85","","-0.46%"
"12/11/2024","30,518.85","30,468.55","30,562.55","30,429.55","","0.31%"
"12/10/2024","30,423.50","30,506.35","30,525.35","30,315.35","","-0.09%"
"12/09/2024","30,450.45","30,506.65","30,552.45","30,358.75","","-0.29%"
"12/06/2024","30,539.55","30,584.35","30,606.65","30,454.40","","0.02%"
"12/05/2024","30,532.25","30,377.55","30,700.60","30,041.90","","0.79%"
"12/04/2024","30,293.55","30,389.50","30,482.65","30,164.40","","-0.15%"
"12/03/2024","30,337.80","30,229.35","30,363.65","30,143.70","","0.75%"
"12/02/2024","30,110.75","29,929.30","30,140.40","29,810.15","","0.67%"
"11/29/2024","29,910.20","29,705.65","30,004.75","29,705.65","","0.83%"
"11/28/2024","29,663.15","30,138.00","30,198.40","29,606.80","","-1.50%"
"11/27/2024","30,113.70","30,015.85","30,222.75","29,936.85","","0.41%"
"11/26/2024","29,989.95","30,168.60","30,193.20","29,922.95","","-0.29%"
"11/25/2024","30,077.90","30,149.60","30,302.70","30,012.40","","1.10%"
"11/22/2024","29,751.20","29,126.25","29,812.40","29,042.55","","2.29%"
"11/21/2024","29,085.40","29,292.65","29,322.70","29,023.40","","-1.29%"
"11/19/2024","29,465.45","29,507.60","29,787.40","29,408.55","","0.18%"
"11/18/2024","29,411.25","29,591.65","29,604.15","29,268.40","","-0.31%"
"11/14/2024","29,502.15","29,595.65","29,728.30","29,428.00","","-0.31%"
"11/13/2024","29,592.95","29,938.35","29,996.85","29,532.45","","-1.47%"
"11/12/2024","30,035.30","30,516.15","30,554.60","29,975.85","","-1.27%"
"11/11/2024","30,421.00","30,445.45","30,700.45","30,329.00","","-0.43%"
"11/08/2024","30,550.95","30,652.20","30,735.05","30,450.80","","-0.22%"
"11/07/2024","30,617.50","31,084.85","31,088.80","30,583.25","","-1.30%"
"11/06/2024","31,020.80","30,775.60","31,081.30","30,626.40","","1.16%"
"11/05/2024","30,664.00","30,325.35","30,693.00","30,218.95","","0.93%"
"11/04/2024","30,382.90","30,859.20","30,859.65","30,107.05","","-1.36%"
"11/01/2024","30,802.50","30,841.65","30,880.40","30,770.60","","0.48%"
"10/31/2024","30,656.65","30,853.70","30,881.20","30,607.75","","-0.41%"
"10/30/2024","30,784.30","30,768.65","31,006.45","30,681.90","","-0.26%"
"10/29/2024","30,864.60","30,781.10","30,884.35","30,369.70","","0.41%"
"10/28/2024","30,737.70","30,540.80","30,879.60","30,347.05","","0.82%"
"10/25/2024","30,488.45","30,966.25","30,973.15","30,341.25","","-1.57%"
"10/24/2024","30,975.35","31,076.70","31,123.50","30,917.10","","-0.31%"
"10/23/2024","31,070.15","31,052.00","31,322.55","30,982.15","","-0.24%"
"10/22/2024","31,145.25","31,655.55","31,722.00","31,103.95","","-1.58%"
"10/21/2024","31,645.10","31,986.30","32,032.25","31,554.65","","-0.84%"
"10/18/2024","31,912.90","31,683.75","31,964.45","31,497.30","","0.54%"
"10/17/2024","31,741.55","32,195.00","32,202.65","31,710.70","","-1.28%"
"10/16/2024","32,154.00","32,252.70","32,312.85","32,030.55","","-0.39%"
"10/15/2024","32,279.10","32,532.85","32,551.45","32,219.75","","-0.44%"
"10/14/2024","32,423.35","32,380.65","32,462.95","32,334.05","","0.44%"
"10/11/2024","32,280.05","32,252.80","32,336.50","32,179.50","","0.10%"
"10/10/2024","32,247.45","32,408.65","32,488.75","32,200.40","","-0.14%"
"10/09/2024","32,292.20","32,324.20","32,557.40","32,246.40","","0.16%"
"10/08/2024","32,241.75","31,976.25","32,284.00","31,831.15","","0.75%"
"10/07/2024","32,001.35","32,451.25","32,499.75","31,856.25","","-1.05%"
"10/04/2024","32,339.50","32,569.55","32,906.00","32,259.55","","-0.95%"
"10/03/2024","32,651.15","32,911.45","33,165.05","32,607.35","","-2.06%"
"10/01/2024","33,336.30","33,339.40","33,449.30","33,242.25","","-0.04%"
"09/30/2024","33,349.90","33,582.40","33,694.25","33,319.55","","-0.97%"
"09/27/2024","33,676.90","33,641.35","33,780.95","33,588.00","","0.29%"
"09/26/2024","33,581.05","33,244.60","33,620.00","33,215.20","","1.14%"
"09/25/2024","33,204.00","33,204.35","33,239.45","32,997.15","","0.04%"
"09/24/2024","33,191.00","33,186.75","33,243.45","33,136.25","","-0.02%"
"09/23/2024","33,196.05","33,113.65","33,209.80","33,069.25","","0.68%"
"09/20/2024","32,973.10","32,733.30","33,047.65","32,634.65","","1.19%"
"09/19/2024","32,584.15","32,756.55","32,873.10","32,514.20","","-0.04%"
"09/18/2024","32,598.50","32,711.40","32,735.80","32,439.20","","-0.32%"
"09/17/2024","32,704.75","32,703.75","32,760.20","32,631.90","","0.09%"
"09/16/2024","32,675.90","32,757.95","32,795.15","32,638.75","","-0.02%"
"09/13/2024","32,683.50","32,759.10","32,759.25","32,607.45","","-0.06%"
"09/12/2024","32,704.50","32,266.35","32,754.65","32,143.10","","1.97%"
"09/11/2024","32,072.55","32,232.90","32,336.65","32,011.85","","-0.48%"
"09/10/2024","32,228.30","32,198.65","32,341.40","32,035.10","","0.39%"
"09/09/2024","32,103.10","32,044.90","32,128.65","31,897.95","","0.07%"
"09/06/2024","32,080.20","32,346.40","32,447.90","32,011.95","","-0.89%"
"09/05/2024","32,368.00","32,506.10","32,535.35","32,345.20","","-0.22%"
"09/04/2024","32,437.95","32,260.05","32,459.30","32,256.15","","-0.32%"
"09/03/2024","32,541.35","32,578.85","32,611.00","32,507.85","","-0.01%"
"09/02/2024","32,545.50","32,583.30","32,624.35","32,482.25","","0.23%"
"08/30/2024","32,469.95","32,383.95","32,524.20","32,374.70","","0.50%"
"08/29/2024","32,309.00","32,145.75","32,356.60","32,057.65","","0.39%"
"08/28/2024","32,182.60","32,121.60","32,307.50","32,012.95","","0.26%"
"08/27/2024","32,100.45","32,119.30","32,166.30","32,071.60","","-0.05%"
"08/26/2024","32,114.95","31,981.05","32,132.60","31,895.75","","0.75%"
"08/23/2024","31,876.75","31,908.90","31,941.85","31,814.95","","0.02%"
"08/22/2024","31,871.40","31,953.40","31,954.75","31,851.85","","0.08%"
"08/21/2024","31,844.80","31,639.65","31,862.55","31,600.65","","0.63%"
"08/20/2024","31,646.15","31,531.50","31,662.10","31,473.95","","0.76%"
"08/19/2024","31,407.10","31,431.50","31,441.75","31,295.85","","0.39%"
"08/16/2024","31,284.10","30,969.60","31,312.15","30,849.15","","1.66%"
"08/14/2024","30,772.00","30,963.15","30,976.55","30,738.55","","-0.36%"
"08/13/2024","30,883.85","31,146.70","31,187.20","30,836.45","","-0.73%"
